feature,variable,lag_days,rows_used,positive_rows,negative_rows,positive_mean,negative_mean,mean_difference,absolute_mean_difference,correlation_with_label,absolute_correlation
soil_moisture_anomaly_lag_16d,soil_moisture,16,6446440,446201,6000239,-0.02871087105354206,0.0021350515162748686,-0.030845922569816928,0.030845922569816928,-0.20959867706364516,0.20959867706364516
soil_moisture_anomaly_lag_32d,soil_moisture,32,6446440,445941,6000499,-0.028172366652418453,0.0020936947672762244,-0.03026606141969468,0.03026606141969468,-0.20560303602270588,0.20560303602270588
soil_moisture_anomaly_lag_48d,soil_moisture,48,6446440,445751,6000689,-0.025928892120609556,0.001926083753324645,-0.0278549758739342,0.0278549758739342,-0.1891867592928981,0.1891867592928981
soil_moisture_anomaly_lag_64d,soil_moisture,64,6446440,445251,6001189,-0.023187079947127456,0.0017203375087067787,-0.024907417455834233,0.024907417455834233,-0.169079530221229,0.169079530221229
vapour_pressure_deficit_anomaly_lag_32d,vapour_pressure_deficit,32,6446440,445941,6000499,0.2832546470700583,-0.021050726042795582,0.3043053731128539,0.3043053731128539,0.16324051209995621,0.16324051209995621
vapour_pressure_deficit_anomaly_lag_16d,vapour_pressure_deficit,16,6446440,446201,6000239,0.2819317342656504,-0.020965535166360443,0.30289726943201084,0.30289726943201084,0.16252899310101063,0.16252899310101063
vapour_pressure_deficit_anomaly_lag_48d,vapour_pressure_deficit,48,6446440,445751,6000689,0.2688118558119324,-0.01996823257129717,0.28878008838322955,0.28878008838322955,0.154881629713596,0.154881629713596
vapour_pressure_deficit_anomaly_lag_64d,vapour_pressure_deficit,64,6446440,445251,6001189,0.24955020053614377,-0.018515076985397144,0.2680652775215409,0.2680652775215409,0.14369696969043275,0.14369696969043275
2m_temperature_anomaly_lag_16d,2m_temperature,16,6446440,446201,6000239,0.7892448904674735,-0.058691305358253176,0.8479361958257267,0.8479361958257267,0.12321303353483015,0.12321303353483015
2m_temperature_anomaly_lag_32d,2m_temperature,32,6446440,445941,6000499,0.7715158941956358,-0.05733699303566562,0.8288528872313015,0.8288528872313015,0.12040756440385064,0.12040756440385064
2m_temperature_anomaly_lag_48d,2m_temperature,48,6446440,445751,6000689,0.7230158781241001,-0.05370800764540842,0.7767238857695085,0.7767238857695085,0.11281252368073671,0.11281252368073671
surface_net_solar_radiation_anomaly_lag_32d,surface_net_solar_radiation,32,6446440,445941,6000499,210740254.074342,-15661650.746407283,226401904.82074928,226401904.82074928,0.10441542585898841,0.10441542585898841
2m_temperature_anomaly_lag_64d,2m_temperature,64,6446440,445251,6001189,0.659446117822438,-0.04892681157127043,0.7083729293937084,0.7083729293937084,0.1028316943360769,0.1028316943360769
surface_net_solar_radiation_anomaly_lag_48d,surface_net_solar_radiation,48,6446440,445751,6000689,204063384.4454988,-15158502.24531975,219221886.69081855,219221886.69081855,0.10108409698749699,0.10108409698749699
total_precipitation_anomaly_lag_32d,total_precipitation,32,6446440,445941,6000499,-0.14520731534065542,0.010791418415423007,-0.15599873375607842,0.15599873375607842,-0.0996799780038993,0.0996799780038993
surface_net_solar_radiation_anomaly_lag_16d,surface_net_solar_radiation,16,6446440,446201,6000239,198101643.02049595,-14731605.060629804,212833248.08112577,212833248.08112577,0.098184112621225,0.098184112621225
surface_net_solar_radiation_anomaly_lag_64d,surface_net_solar_radiation,64,6446440,445251,6001189,196235514.5712819,-14559457.98380585,210794972.55508775,210794972.55508775,0.09714793082565297,0.09714793082565297
total_precipitation_anomaly_lag_48d,total_precipitation,48,6446440,445751,6000689,-0.13967215690252593,0.010375309170573235,-0.15004746607309916,0.15004746607309916,-0.09585833095805542,0.09585833095805542
total_precipitation_anomaly_lag_16d,total_precipitation,16,6446440,446201,6000239,-0.13338548780343515,0.009919061231291064,-0.14330454903472623,0.14330454903472623,-0.09159336104405884,0.09159336104405884
total_precipitation_anomaly_lag_64d,total_precipitation,64,6446440,445251,6001189,-0.1312519761127945,0.009738082506016385,-0.14099005861881087,0.14099005861881087,-0.09002519481753544,0.09002519481753544
